run_id,strategy_id,peak_date,valley_date,recovery_date,drawdown_pct,days_to_valley,days_to_recover,recovered
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-11-13,2013-11-19,2013-11-27,-3.2483861042772677,6,14,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2006-01-11,2006-01-20,2006-01-26,-3.2019737447711583,9,15,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2003-11-07,2003-11-11,2003-11-13,-3.1487052408052607,4,6,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-11-05,2013-11-07,2013-11-13,-3.1234022986435295,2,8,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-04-26,2007-05-24,2007-06-01,-2.999777567347317,28,36,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2026-02-09,2026-02-12,2026-02-19,-2.934825184397871,3,10,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2018-05-24,2018-09-06,2018-09-25,-2.8057636481807036,105,124,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2026-02-25,2026-02-26,,-2.7821723192454684,1,,False
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2003-11-13,2003-11-17,2003-11-24,-2.700774556024832,4,11,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-03-17,2010-03-19,2010-03-23,-2.700107992501055,2,6,True
