cycle;started_at;ended_at;daemon_stop_reason;attempts_before;attempts_after;real_runs_before;real_runs_after;best_near_valid_before;best_near_valid_after;best_valid_after;expansion_done;repair_done;next_axis
31;2026-05-27T04:56:04.910403+00:00;2026-05-27T04:56:48.044608+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
32;2026-05-27T04:57:39.656767+00:00;2026-05-27T04:58:22.069323+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
33;2026-05-27T04:59:13.752677+00:00;2026-05-27T04:59:56.603985+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
34;2026-05-27T05:00:48.468131+00:00;2026-05-27T05:01:31.888439+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
35;2026-05-27T05:02:23.945873+00:00;2026-05-27T05:03:06.416605+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
36;2026-05-27T05:03:58.039679+00:00;2026-05-27T05:04:40.268514+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
37;2026-05-27T05:05:31.583394+00:00;2026-05-27T05:06:13.954092+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
38;2026-05-27T05:07:05.035228+00:00;2026-05-27T05:07:46.557256+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
39;2026-05-27T05:08:37.288389+00:00;2026-05-27T05:09:18.933141+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
40;2026-05-27T05:10:09.734411+00:00;2026-05-27T05:10:52.030430+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
41;2026-05-27T05:11:43.012816+00:00;2026-05-27T05:12:23.989280+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
42;2026-05-27T05:13:14.893886+00:00;2026-05-27T05:13:57.187098+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
43;2026-05-27T05:14:48.452992+00:00;2026-05-27T05:15:30.540615+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
44;2026-05-27T05:16:21.452985+00:00;2026-05-27T05:17:03.092907+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
45;2026-05-27T05:17:54.212173+00:00;2026-05-27T05:18:35.473883+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
46;2026-05-27T05:19:26.170845+00:00;2026-05-27T05:20:08.078949+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
47;2026-05-27T05:20:59.609002+00:00;2026-05-27T05:21:41.242068+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
48;2026-05-27T05:22:32.373266+00:00;2026-05-27T05:23:13.836439+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
49;2026-05-27T05:24:05.187317+00:00;2026-05-27T05:24:47.384220+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
50;2026-05-27T05:25:39.232147+00:00;2026-05-27T05:26:21.874416+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
51;2026-05-27T05:27:13.680373+00:00;2026-05-27T05:27:55.698986+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
52;2026-05-27T05:28:46.824773+00:00;2026-05-27T05:29:28.947287+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
53;2026-05-27T05:30:20.736285+00:00;2026-05-27T05:31:03.196397+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
54;2026-05-27T05:31:54.661525+00:00;2026-05-27T05:32:36.729873+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
