beats_spy_cagr;cagr;calmar;config_hash;constraint_gap_score;dd_limit;decision;excess_cagr;frontier_class;max_drawdown;months_beating_spy;months_losing_to_spy;passes_dd20;rank_under_constraint;rejection_reason;run_id;spy_cagr;strategy_id;trades;years_beating_spy;years_losing_to_spy
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_17_V1_1999_2026_20260525_005359;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_17_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_18_V1_1999_2026_20260525_012324;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_18_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_23_V1_1999_2026_20260525_014716;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_23_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_24_V1_1999_2026_20260525_014942;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_24_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_26_V1_1999_2026_20260525_015218;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_26_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_28_V1_1999_2026_20260525_015442;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_28_V1;2822;24;4
True;30,209994;0,43738;979cc86c527214e0;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_MKT_RELAXED_V1_1999_2026_20260524_212325;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_MKT_RELAXED_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_V1_1999_2026_20260524_195121;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_V1;2822;24;4
True;30,200238;0,464037;b09b8fd286af1dd6;451,371437;-20,0;rejected;23,397764;high_cagr_dd_breach;-65,081477;192;137;False;;"insufficient_trades:1330<3000; max_drawdown_breaches_dd20:-65.081477<-20.000000";RETEST_HYP_REVIEW_EXP_052_TOPN_5_V1_1999_2026_20260524_191631;6,802475;HYP_REVIEW_EXP_052_TOPN_5_V1;1330;20;8
True;29,994236;0,489662;;412,81993;-20,0;rejected;23,191761;high_cagr_dd_breach;-61,254993;214;115;False;;"insufficient_trades:2190<3000; max_drawdown_breaches_dd20:-61.254993<-20.000000";RETEST_SP500_MOMENTUM_TREND_CONCENTRATION_V1_1999_2026_20260524_160929;6,802475;SP500_MOMENTUM_TREND_CONCENTRATION_V1;2190;25;3
